Carlisle, 54.890582, -2.932919
Carluke, 55.731118, -3.848904
Newton, 55.818827, -4.133265
Settle, 54.066955, -2.280834
Wallyford, 55.940459, -3.014788
Longniddry, 55.976236, -2.888647
Drem, 56.005134, -2.785302
Dunbar, 55.998211, -2.513684
Alnmouth, 55.392793, -1.636772
Berwick-upon-Tweed, 55.774555, -2.010542
Chathill, 55.536726, -1.706652
MetroCentre, 54.958889, -1.664932
Armathwaite, 54.809435, -2.77208
Lazonby and Kirkoswald, 54.750815, -2.703691
Langwathby, 54.694363, -2.663557
Garsdale, 54.321462, -2.326368
Dent, 54.282566, -2.363634
Ribblehead, 54.205499, -2.360371
Horton-in-Ribblesdale, 54.149217, -2.302098
Staveley, 54.375618, -2.819072
Inverness, 57.479755, -4.223209
Beauly, 57.478279, -4.469859
Marske, 54.587381, -1.019516
Dyce, 57.205694, -2.192708
Leuchars, 56.374796, -2.893855
Cupar, 56.317202, -3.008964
Springfield, 56.295166, -3.052397
Ladybank, 56.274246, -3.121595
Inverurie, 57.286407, -2.373485
Insch, 57.337374, -2.616918
Huntly, 57.444492, -2.775785
Keith, 57.551499, -2.95402
Edinburgh Park, 55.927551, -3.307788
Newcraighall, 55.932976, -3.090695
Long Preston, 54.016658, -2.255152
Port Glasgow, 55.933381, -4.68974
Branchton, 55.940531, -4.803405
Paisley Gilmour Street, 55.847476, -4.424482
Cardonald, 55.852782, -4.340257
Bishopton, 55.902096, -4.500493
Wick, 58.44174, -3.098527
Georgemas Junction, 58.513451, -3.451861
Thurso, 58.590188, -3.527705
Altnabreac, 58.388125, -3.706148
Dalgety Bay, 56.042273, -3.367249
Aberdour, 56.054755, -3.300976
Burntisland, 56.057349, -3.233829
Kinghorn, 56.069094, -3.17449
Glenrothes with Thornton, 56.162291, -3.142935
Cardenden, 56.141062, -3.260981
Lochgelly, 56.1349, -3.313475
Cowdenbeath, 56.111653, -3.343286
Dunfermline Queen Margaret, 56.080166, -3.421771
Dunfermline City, 56.068112, -3.452362
Rosyth, 56.045376, -3.426329
Muir of Ord, 57.517518, -4.460157
Dingwall, 57.594037, -4.422266
Alness, 57.694425, -4.249945
Invergordon, 57.689037, -4.17475
Fearn, 57.778143, -3.993948
Tain, 57.814489, -4.052129
Ardgay, 57.88157, -4.362216
Lairg, 58.00189, -4.399868
Golspie, 57.971509, -3.987169
Dunrobin Castle, 57.985782, -3.947369
Brora, 58.013143, -3.852342
Helmsdale, 58.117729, -3.659146
Garve, 57.613106, -4.688375
Achnasheen, 57.57932, -5.072199
Stromeferry, 57.3522, -5.55077
Plockton, 57.333591, -5.665892
Kyle of Lochalsh, 57.279776, -5.713749
